capability,api_method_path,controller,domain_service,postgresql_tables,worker,web_route,web_component,navigation,unit_test,integration_test,playwright,seed_demo,status
availability,POST /api/v1/availability/search,AvailabilityController,AvailabilityService,room_types rooms inventory_blocks,none,/,AvailabilitySearchForm,public header,availability-search-form.test.tsx,availability.integration.test.ts,phase-8d3-public-entry.spec.ts,development catalog,FULL_VERTICAL
quote and cheapest pricing,POST /api/v1/quotes,QuoteController,QuoteService.issue,quotes rate_plans rate_plan_prices,none,/booking/quote/[quoteId],QuoteView QuoteSummary,availability result,quote-summary.test.tsx,quote.integration.test.ts,phase-8b1-stay-time-recommendations.spec.ts,pricing plans,FULL_VERTICAL
stay-time recommendations,POST /api/v1/recommendations/stay-times,RecommendationController,recommendationStayTimes,quotes rate_plans rooms,none,/booking/quote/[quoteId],StayTimeRecommendations,quote page,stay-time-recommendations.test.tsx,pricing integration tests,phase-8b1-stay-time-recommendations.spec.ts,recommendation interval,FULL_VERTICAL
coupon preview,POST /api/v1/quotes,CouponRepository via QuoteService,QuoteService.issue,coupons booking_coupon_applications,none,/booking/quote/[quoteId],CouponInput CouponSummary,quote page,quote-view-coupon.test.tsx,quote.integration.test.ts,coupon e2e specs,coupons,FULL_VERTICAL
hold contact,POST /api/v1/public/quotes/:quoteId/bookings,BookingHoldController,BookingHoldService,bookings inventory_blocks booking_contacts,hold expiry,/booking/quote/[quoteId],QuoteContactForm HoldSuccessPanel,quote page,hold tests,booking integration tests,public booking e2e,development catalog,FULL_VERTICAL
guest OTP management,POST /api/v1/public/guest-access/otp/*; GET booking,GuestAccessOtpController BookingDetailController,GuestAccessService,guest_access_challenges bookings,outbox delivery,/booking/manage,OtpRequestPanel OtpVerifyPanel BookingDetailPanel,public header and hold success,OTP panel tests,booking integration tests,public booking e2e,Mailpit,FULL_VERTICAL
customer account,GET/PATCH /api/v1/customer/*,CustomerProfileController CustomerBookingsController,CustomerSessionService,users customer_profiles bookings,none,/account/profile /account/bookings,CustomerProfileClient,public header,customer tests,customer API tests,OAuth e2e,deterministic OAuth test mode,FULL_VERTICAL
MoMo payment,POST attempts; POST IPN; GET return,MomoPaymentController MomoWebhookController,Momo adapter applyVerifiedPaymentEvent,payments payment_attempts payment_events,reconciliation,/booking/manage,PaymentProviderSelector PaymentStatusSummary,guest booking detail,payment tests,MoMo tests,provider e2e fixture,loopback test adapter,FULL_VERTICAL
VNPAY payment,POST attempts; GET IPN/return,VnpayPaymentController VnpayWebhookController,VNPAY adapter applyVerifiedPaymentEvent,payments payment_attempts payment_events,reconciliation,/booking/manage,PaymentProviderSelector PaymentStatusSummary,guest booking detail,payment tests,VNPAY tests,provider e2e fixture,loopback test adapter,FULL_VERTICAL
ADMIN catalog,/api/v1/admin catalog endpoints,CatalogController,CatalogService,properties room_types rooms amenities price_tiers maintenance_blocks,none,/admin/*,catalog managers,admin shell,catalog component tests,catalog integration tests,admin e2e,development catalog,FULL_VERTICAL
ADMIN booking operations,/api/v1/admin/bookings/*,AdminBookingOperationsController,AdminBookingOperationsService,bookings operational_reviews outbox,outbox delivery,/admin/bookings,booking operation views,admin shell,admin web tests,admin API tests,phase-7g e2e,development catalog,FULL_VERTICAL
ADMIN payments reconciliation,/api/v1/admin/payments/*,AdminPaymentReconciliationController,PaymentReconciliationService,payments attempts events,reconciliation,/admin/payments,admin payment views,admin shell,payment UI tests,payment integration tests,payment e2e,loopback adapter,FULL_VERTICAL
worker hold expiration,internal worker job,none,expireStaleHolds,bookings inventory_blocks,HOLD_EXPIRATION,visible via booking status,HoldSuccessPanel,journey result,worker tests,worker integration tests,worker e2e,development catalog,INTERNAL_ONLY
worker outbox delivery,internal worker job,none,processOutbox,outbox_messages,OUTBOX_DELIVERY,visible via coupon delivery status,admin booking views,admin booking detail,worker tests,worker integration tests,coupon delivery e2e,Mailpit,INTERNAL_ONLY
worker payment reconciliation,internal worker job,none,processReconciliation,payments attempts events,PAYMENT_RECONCILIATION,visible via payment status,PaymentStatusSummary admin payment views,booking/admin payment pages,worker tests,payment integration tests,payment e2e,loopback adapter,INTERNAL_ONLY
health endpoints,GET /api/health/*,HealthController,health probes,none,none,none,none,health tests,none,none,none,INTERNAL_ONLY
provider webhooks and returns,MoMo/VNPAY provider callbacks,provider webhook/return controllers,verified payment ingress,payments events,may queue reconciliation,provider redirect only,no direct component,provider contract,provider tests,payment integration tests,provider e2e,loopback adapter,INTERNAL_ONLY
