method,runtime_path,openapi_path,controller,auth_requirement,permission,request_schema,response_schema,mutation_or_read_only,authoritative_effect,ui_caller,focused_test,status
DELETE,/api/v1/admin/room-types/{id}/amenities/{amenityId},/api/v1/admin/room-types/{id}/amenities/{amenityId},apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/auth/*,,apps/api/src/auth/auth.controller.ts,framework-owned auth boundary,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,ALLOWLISTED
GET,/api/v1/admin/accounts,/api/v1/admin/accounts,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/amenities,/api/v1/admin/amenities,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/audit,/api/v1/admin/audit,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/bookings,/api/v1/admin/bookings,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/bookings/{bookingCode},/api/v1/admin/bookings/{bookingCode},apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/coupons,/api/v1/admin/coupons,apps/api/src/coupons/coupon.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/coupons/{id},/api/v1/admin/coupons/{id},apps/api/src/coupons/coupon.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/customer-accounts,/api/v1/admin/customer-accounts,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/departments,/api/v1/admin/departments,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/maintenance-blocks,/api/v1/admin/maintenance-blocks,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/me,/api/v1/admin/me,apps/api/src/admin/admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/operational-report,/api/v1/admin/operational-report,apps/api/src/reporting/admin-operational-report.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/operational-reviews,/api/v1/admin/operational-reviews,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/operational-reviews/{reviewId},/api/v1/admin/operational-reviews/{reviewId},apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/payment-providers,/api/v1/admin/payment-providers,apps/api/src/payment/admin-payment-provider.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/payments,/api/v1/admin/payments,apps/api/src/payment/admin-payment-reconciliation.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/payments/{paymentId},/api/v1/admin/payments/{paymentId},apps/api/src/payment/admin-payment-reconciliation.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/price-tiers,/api/v1/admin/price-tiers,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/pricing-policies,/api/v1/admin/pricing-policies,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
