classification,file,line,value,reason,impact,recommended_owner,fix,tests,severity
APPROVED_DOMAIN_INVARIANT,packages/config/src/index.ts,timezone,Asia/Ho_Chi_Minh,Default property timezone is domain configuration with validation,Consistent local time handling,Configuration,Keep validated default,packages/config/test/environment.test.ts,P3
APPROVED_DOMAIN_INVARIANT,packages/config/src/index.ts,currency,VND,Supported currency is a current product invariant,Correct money representation,Product and configuration,Keep validated currency,packages/config/test/environment.test.ts,P3
VALIDATED_SERVER_CONFIGURATION,packages/config/src/index.ts,provider URLs and timeouts,MOMO/VNPAY endpoints and request timeout,Environment values are parsed and validated before adapters use them,Provider safety,Platform configuration,Keep configuration boundary,apps/api/test/payment/momo.query.test.ts; apps/api/test/payment/vnpay.query.test.ts,P3
DATABASE_CATALOG_DATA,apps/api/test/playwright-global-setup.ts,246-266,rate-plan codes and UUIDs,Deterministic Playwright seed data only,Deterministic browser tests,Test infrastructure,Keep out of production source,tests/e2e/phase-8b1-admin-rate-plan.spec.ts,P3
TEST_OR_SEED_ONLY,tests/e2e/_fixtures/payment-test-helpers.mjs,11-16,loopback URLs and seeded UUIDs,Local simulator fixture only,Deterministic payment E2E,Test infrastructure,Keep loopback-only,tests/e2e/payment-gate-b11-b12.spec.ts,P3
APPROVED_DOMAIN_INVARIANT,packages/booking/src/payment/reconciliation.ts,retry and lease policy,reconciliation lease/backoff constants,Bounded recovery policy protects provider and worker resources,Safe retry behavior,Payment domain,Keep constants beside policy and document,packages/booking/test/payment/reconciliation.test.ts,P3
DUPLICATED_POLICY,scripts/demo/smoke.mjs,120-140,lunch-slot calculation,Demo has a local copy of test slot selection,Demo-only drift risk,Demo tooling,Record for consolidation when demo tooling is refactored,scripts/demo/lifecycle-test.mjs,P2
HARMFUL_HARDCODE,scripts/demo/smoke.mjs,251-285,Mailpit message-count delta,Mailpit caps the list response at 50 and masked delivered OTP mail,False release failure,Demo tooling,Fixed to assert unique recipient and booking-specific verification email,pnpm demo:smoke; pnpm demo:lifecycle-test,P1
TEST_OR_SEED_ONLY,apps/api/test/playwright-global-setup.ts,32-36,playwright OAuth client secret,Test-only loopback OIDC credential,No production exposure,Test infrastructure,Keep test-only and never load in production,tests/e2e/customer-identity-browser.spec.ts,P3
SECRET_OR_SECURITY_RISK,.env.example,provider credential keys,template names only,No secret values committed; production secret injection remains external,Credential safety,Platform configuration,Continue secret scanning and do not commit .env,config validation tests,P2
