ID,Domain,Requirement,AuthoritativeSource,Evidence,Status,Severity,ExploitOrFailureMode,CustomerImpact,FinancialImpact,DataIntegrityImpact,ProductionBlocker,ExternalDependency,OwningComponent,RecommendedFix,RequiredTests,EstimatedEffort,SuggestedPhase,Dependencies
PRICING-001,Pricing,"Production selector returns the cheapest valid plan/composition",docs/domain/pricing-rules.md + ADR-0005 + Phase 8A exhaustive oracle,"Audit oracle (8 928 scenarios): production matches cheapest in 6 896 (77.24%); 2 032 (22.76%) have a strictly cheaper valid alternative that production rejects. Random test (2 000 cases): 234/1 999 (11.7%) mismatch, all on production's side (never cheaper).",FAIL,P0,"Customer paying strictly more than the cheapest valid combination in ~12-23% of cases (depending on configured prices). Pricing is server-authoritative so customer cannot self-correct.",High - direct overcharge,High - direct overcharge,None,Yes (production cannot ship as-is without business decision),None,apps/api/src/pricing/selection-rule-matcher.ts,"Replace priority-wins selection with cheapest-first selection; or keep priority-wins but document the gap and obtain explicit product sign-off. The fix is a one-line change in selector + new oracle regression test.",Re-run audit-exhaustive and audit-property-random; aim for 100% match.,M (1-2 days),Phase 8B,Product sign-off on cheapest-first vs priority-wins
PRICING-002,Pricing,Flexible-time recommendation has approved product rules,docs/product/product-scope.md,"Audit searched pricing-rules.md, business-invariants.md, product-scope.md, ADR-0005 - no rules for: max time shift; check-in earlier/later; check-out movement; duration preservation; unused-included tolerance; availability re-check; explicit customer confirm; tie-break; convenience weighting; coupon participation.",BUSINESS_RULE_UNSOURCED,P1,N/A,N/A,N/A,N/A,Yes (cannot ship without approved rules),None,apps/api/src/pricing (none exists),Define product-approved rules,Add an ADR or product spec; add API contract.,S (planning),Phase 8B,Product decision
PRICING-003,Pricing,Quote immutability is enforced at the DB layer,docs/domain/pricing-rules.md + INV-006,"Immutability is by code path; no DB trigger prevents UPDATE on quotes.",VERIFIED_WITH_LIMITATION,P3,"A future code path that calls UPDATE on quotes.price_snapshot would silently mutate the snapshot; no DB guard.",None (requires code bug to trigger),Medium if combined with a code bug,Medium if combined with a code bug,No,None,packages/database/drizzle (add trigger),Add a BEFORE UPDATE trigger that raises on price_snapshot mutation,Unit test confirming trigger fires.,XS,Phase 8F,None
PRICING-004,Pricing,"Coupon discount cannot exceed base combo total",INV-020,"packages/booking coupon logic enforces invariant; tests cover happy path.",VERIFIED_WITH_LIMITATION,P2,N/A,None,None,None,No,None,packages/booking/src/coupon,N/A - test coverage is adequate; document exhaustive case count in next phase.,Exhaustive discount-cap test.,S,Phase 8C,None
PAYMENT-001,Payment,Provider status-query API integration for reconciliation,docs/handoffs/phase-7g-verdicts.md,"No MoMo /v2/gateway/api/query or VNPAY vnp_QueryDr integration found.",NOT_VERIFIED,P1,Reconciliation drift undetected for hours/days; risk of incorrect booking state.,Medium - failed payments may stall customer bookings,Medium - uncollected / over-collected provider balances,Medium - booking/payment aggregate state divergence,Yes,MoMo sandbox creds; VNPAY sandbox creds,apps/api/src/payment/providers/,Add status-query job on a 15-min interval; reconcile payment_provider_events against provider state; emit REVIEW_REQUIRED on divergence.,Integration test with sandbox; idempotency test for repeated queries.,M (3-5 days),Phase 8D,Merchant sandbox credentials
PAYMENT-002,Payment,"VNPAY canonical-string space encoding conforms to spec",VNPAY spec (not retrievable in this audit),"Production and audit-oracle both encode space as `+` (URLSearchParams.toString() behavior); spec ambiguous between `+` and `%20`.",VERIFIED_WITH_LIMITATION,P1,"If VNPAY expects `%20`, every signature would mismatch in production.",None until production acceptance,High if spec mismatch confirmed,None,Yes (production acceptance blocked),VNPAY spec doc; sandbox test,apps/api/src/payment/providers/vnpay/vnpay.signature.ts,Confirm with VNPAY sandbox; if `%20` is required, replace URLSearchParams.toString() with a manual encoder.,Sandbox conformance test.,S,Phase 8D,VNPAY sandbox credentials
PAYMENT-003,Payment,"VNPAY amount scaling (x100 vs x1) conforms to spec",VNPAY spec (not retrievable in this audit),"Audit could not access current official VNPAY spec; production sends raw VND.",NOT_VERIFIED,P1,"If VNPAY expects x100, amounts are off by 100x.",None until production acceptance,High if spec mismatch confirmed,None,Yes,VNPAY spec doc; sandbox test,apps/api/src/payment/providers/vnpay/vnpay.adapter.ts,Confirm with VNPAY sandbox; if x100 required, multiply by 100 before sending.,Sandbox conformance test.,S,Phase 8D,VNPAY sandbox credentials
PAYMENT-004,Payment,Provider event retention policy,docs/runbooks/,No retention policy documented.,NOT_VERIFIED,P2,"Long-term retention increases DB size; short-term retention risks loss of audit evidence for reconciliation.",Low,None,Medium - lost evidence for payment dispute,No,None,packages/database/drizzle (add retention cron) + apps/worker,Document a 365-day retention; add a scheduled job to archive older rows.,Test the archive cron.,S,Phase 8F,None
PAYMENT-005,Payment,Provider request-id in audit logs,docs/security/threat-model.md,"Audit logs do not include the provider's request_id; only the local requestId.",NOT_VERIFIED,P3,"Cross-provider debugging harder than necessary.",None,None,Low,No,None,apps/api/src/payment/providers/,Add `providerRequestId` to audit log payload.,Unit test confirming request_id is logged.,XS,Phase 8E,None
DATA-001,Database,operational_reviews.payment_id is cross-checked to same booking/property,pkg/database/drizzle/0015_phase7g_admin_booking_operations.sql,"DB-level FK to payments(id) exists; no DB-level CHECK or trigger that operational_reviews.payment_id belongs to the same booking/property as the review. Application-level validation only.",VERIFIED_WITH_LIMITATION,P1,"A code bug could write a review pointing to a payment of a different booking/property; review evidence would be associated with the wrong aggregate.",None in normal operation,Low,Medium - cross-aggregate integrity loss,Yes (production-acceptance gate),None,packages/database/drizzle (add trigger),"Add a BEFORE INSERT OR UPDATE trigger on operational_reviews that joins payments and rejects mismatched booking/property.",Trigger-rejection unit test.,S,Phase 8C,None
